¬
{IMPERIAL_CAMPAIGN_AZTECS_DESCR}	Ashkhan Sul-Matuul\n\n Ashlanders are the Dunmer nomads of the Morrowind wastelands. They claim to be the direct descendants of the Aldmeri peoples who followed the prophet Veloth into the lands now called Morrowind. They live in camps  formed of small, mobile huts, and typically spend time herding guar and hunting wildlife for meat and hides. The traditions of the Ashlanders give them the right to raid other settlements and other tribes for plunder and slaves. They are lead by Ashkhan, or warchiefs, and are counseled by the arcane wisdom and prophecies of their wise women. There also exists a strong belief in their ancestors. The Velothi are people of Ashlander stock who have abandoned nomadic life and settled among the native Dunmer.\n The Velothi are despised by their Ashlander cousins as being weak and soft, while the Dunmer look down upon the Velothi as an insignificant underclass.\n The Ashlanders believe in the anachronistic culture of the old Dunmer, which, for everyone else, has evolved into the theocratic Great Houses of today's other Dunmer. The Ashlanders see the worship of living Dunmer and the practices of Morrowind's main religious organisation, the Tribunal Temple, as an abomination.\n The Ashlanders prefer the simplistic culture and subsistence economy gained from being nomadic herders or hunters. Their ancestor worship and 'barbaric' ways are considered shamanistic and primitive by Dunmer and Imperial standards.\n Ashlander nomadic camps have portable huts bult from hides stretched on chitin frames. These huts can be quickly dismantled and packed atop a guar when moving to new grazing and hunting grounds. The khan's hut is simply a larger, more elaborate version of a family hut.\n The typical Ashlander is badly predisposed towards foreigners, and many wish for said foreigners and their false gods to be driven from Morrowind. Their desire is for the foreign devils to leave in peace. Ashlanders believe it shameful to attack unarmed persons, but they will kill without hesitation an armed person who egregiously offends them or their clan laws. While the pride of Ashlanders is not strong enough to wage unbeatable war against the Empire, it is strong enough to strike when the Empire appears to be weakened. \n Among clan and kin, Ashlander courtesy is very proper and polite. Outsiders would percieve them as harsh and cruel, perhaps hateful by nature. In their society, challenges are very solemn and serious affairs. They take no offense to gifts of money, and take them as tokens of deference and respect.\n Ashlanders may challenge a stranger who enters a yurt (tent/living place) without invitation.  Specific customs for this differ from tribe to tribe, but leaving when requested typically means no offense is taken. When challenged by an Ashlander for sport, it is acceptable to decline. When challenged for honor, however, it is shameful to decline. Honor challenges arise from offense given in speech or action, or may represent customary formal challenges of status or ritual.\n Ashlander pride is strong. The ways of an Ashlander are pure, but demanding to the untested. It will take a strong leader to bring the last true people of Morrowind honor... by force, or all out war if necessary.
{IMPERIAL_CAMPAIGN_AZTECS_TITLE}	Tribes of Ashlanders
{STORMCLOAK_SCOTLAND_DESCR}			Jarl Ulfric Stormcloack\n\n  The Markarth Incident is considered to be the initial conception of the Stormcloak Rebellion. In 4E 176, Ulfric Stormcloak and his army retook the city of Markarth from the Forsworn invaders, under the agreement from the Jarl of Markarth that in exchange for Ulfric's military aid, Talos worship would be permitted in his city. However, shortly after retaking Markarth, the Imperial Legion returned to Skyrim in the aftermath of the Great War, but was pressured by Ulfric's militia to permit the free Talos worship in Markarth that was agreed upon by Ulfric and Markarth's Jarl. The Legion capitulated to Ulfric's demand but soon broke the agreement due to pressure from the Aldmeri Dominion. Thus, Ulfric and his militia were arrested and incarcerated. During Ulfric's imprisonment, his father, the Jarl of Windhelm, died, and Ulfric was forced to deliver the eulogy by a letter he had smuggled out of prison. Upon his release, he returned to Windhelm, took up duties as Jarl, and began his rebellion.
\n\n The Stormcloaks believe Skyrim should secede from what they feel is a corrupt crumbling Empire. This stance came about due to the aftermath of the Great War and the imposition of the White-Gold Concordat by the Aldmeri Dominion. The Stormcloaks consider the Empire as just a puppet of the Thalmor because the Empire surrendered during the Great War and accepted the Dominion's terms of surrender. These terms ban the worship of Talos, which most Nords do not support. Many are outraged at this Talos ban and point out the Markarth Incident, as an example of the Empire publicly supporting the Dominion's oppressive influence over Skyrim. Furthermore, their opinion of the Empire is exacerbated with the arrival of the Thalmor Justiciars, who have been granted the authority by the Empire to enforce the White-Gold Concordat within Skyrim.
\n\n The Stormcloaks believe they should not have to divert Skyrim's resources to rebuild a diminished Empire too weak to provide the functions of a just government and is under the Thalmor's thumb. Some think that the Empire is maintaining power in Skyrim by propping up loyalist Jarls. Many Stormcloaks have also begun to resent the imposition of what they believe are, Imperial-sanctioned High Kings, who can only act as figurehead puppets and not kings of merit. With so many grievances, the Stormcloaks have concluded that political independence is what's best for Skyrim, since it frees them from the Empire's detrimental policies and allows the natives of Skyrim to determine the fate of their homeland. Though there is much uncertainty that goes hand in hand with their revolutionary aspirations, the Stormcloaks believe that they will remedy Skyrim's wretched state and preserve their Nordic way of life.
{STORMCLOAK_POLAND_DESCR}	Archmaster Ilandris Venim\n\n The House Redoran prizes the three virtues of duty, gravity, and piety. Duty is to one's honor, and to one's family, and to one's clan. Gravity is the essential seriousness of life. Life is hard and events must be endured and reflected upon with care and earnest. This does not mean that life cannot be enjoyed; it simply means that it is important for one to recognize the fundamental value and import of the lives of oneself and others. Piety is respect to the gods and the virtues they represent. A light careless life is not worth living. An act against these is treason and may result in expulsion from the house, depending greatly on the degree of the offense. Murder is an extremely dishonorable act but an honorable duel is acceptable and even common within the house.
\n\nAfter the war with Dagoth Ur and during the disappearance of the Nerevarine, the House Redoran capital on Vvardenfell, Ald'ruhn, was destroyed when a large Daedric force attacked the city. The council members were forced to resurrect the dread emperor crab Ald'skar whose shell they had made their home in. Even with its resurrection, this was apparently not enough to face the daedric power and the city was destroyed while the Daedra prepared to assault the Ghostgate itself.
\n\nDuring the Oblivion Crisis, it fell to House Redoran to organize the Dunmer into an effective fighting force against the Daedra. While it was Martin Septim who ended the Crisis, the Dunmer had a somewhat effective army when the Argonians invaded. While the southern half of Morrowind was ravaged, House Redoran led the Dunmer in the defense of the northern half and was able to hold the invaders. This gained the Redoran much respect from their people, and from then onward they became the most powerful and respected Great House in Morrowind. The capital was moved from Mournhold to Blacklight, where the Great Houses now hold council.
{STORMCLOAK_RUSSIA_DESCR}	Chief Ish-Thtasi Atlsethung In'go Tsith-Thilpui-Oznel-Zhi-Ra \n\n For centuries, many Dunmer of the Great Houses of Morrowind had made a practice of invading the Black Marsh to take Argonians from their homes as slaves. This led to widespread resentment from Argonians and slave revolts became quite common in Morrowind; particularly near the end of the Third Era. Coincidentally, Argonian armies in Black Marsh were warned of the upcoming Oblivion Crisis by the Hist, and were thus prepared before the Oblivion Gates opened. A radical faction in Black Marsh called the An-Xileel rallied the armies of Black Marsh into fighting the hordes of Daedra invading their home. They poured into Mehrunes Dagon's Deadlands and fought the Daedra on their own turf so successfully the Dremora Lieutenants closed their gates to prevent being overrun. While Morrowind and the Imperial forces in Black Marsh were still reeling from the consecutive catastrophes of the Oblivion Crisis and the destruction of Vvardenfell, the Thalmor incited the Argonians to mount a massive uprising with the battle-hardened An-Xileel as a spearhead. While they successfully incited the Argonians to invade Morrowind, the Thalmor ultimately lost what little influence they had gained in Black Marsh.
\n\nThe An-Xileel were largely responsible for the Argonian Invasion, and subsequent occupation, of southern Morrowind. They stopped their advance in Morrowind decades ago after being driven back by House Redoran, and have not showed the slightest interest in doing anything since then. They have, however, prevented the Empire from reclaiming their territory.
\n\nAccording to the Imperial perspective, the An-Xileel "were entirely nativistic in their views, interested only in purging the former colonial influences and returning Black Marsh to whatever state they imagined it had been in before it was ruled by foreign powers.
{STORMCLOAK_SKYRIM_DESCR}	Jarl-widow Elisif the Fair \n\n During the Merethic Era, a legendary Atmoran leader named Ysgramor led an expedition from Atmora to the land that would later be known as Skyrim. They called the land Mereth, in recognition of the vast number of Mer that lived there. It was the first region of Tamriel to be settled by humans, who migrated there from the land of Atmora in the far north, across the Sea of Ghosts. According to legend, Ysgramor landed first at Hsaarik Head, at the extreme northern tip of Skyrim's Broken Cape. It is said that he and his companions were fleeing the civil war in Atmora, which at that time had a sizable population.
\n\nThe Atmorans settled the area that in the future would be known as Winterhold; they eventually built a city in the region and called it Saarthal. For a long while, relations between the Snow Elves and the Atmorans were relatively peaceful.
The Night of Tears was the infamous sacking of Saarthal by the Snow Elves. There are a variety of accounts as to why this happened. Some say the Snow Elves saw that the Nords, with their considerably shorter life expectancy, fast rates of physical maturation and expedient reproductive cycle, would eventually overtake them if left unchecked. Another theory suggests that the sacking of Saarthal was brought on by the Atmoran discovery of the Eye of Magnus beneath the city. Other sources are less certain in their pronouncements, but also point to a very focused attack on locations that are not of strategic importance, lending weight to the theory that the Eye of Magnus, not the extermination of the Nords was the primary reason for the attack. According to legend, only Ysgramor and his two sons were able to escape back to Atmora.
\n\nWhen Ysgramor and his sons returned to Atmora, they told stories of the events that occurred in Skyrim, and gathered many around them for a return to retake Skyrim and avenge Saarthal. After Ysgramor was set to return to Skyrim with an army known as the "Five Hundred Companions," composed of the heroes of the Atmoran Civil War. On the Day of Final Passage, the Five Hundred Companions left the port of Jylkurfyk to return to Skyrim.
\n\nThe Atmoran-Snow Elf War took place in the late middle Merethic Era, and was a campaign which seemed to be indecisive for much of its duration. The battle that decided it for the Atmorans was the Battle of the Moesring. During the battle, the Atmorans were winning and it appeared that they would be victorious, until the arrival of the Snow Prince. He rallied and led his forces into combat, inspiring the troops of the last remaining army of Snow Elves, before allegedly being killed by a small child. The death of the Snow Prince shattered the morale and motivation of the remaining Snow Elf warriors. Many Snow Elves fled, and those who remained on the battlefield were killed. The Snow Prince himself was buried with honors by his Nord foes.
\n\nThe war would end shortly after, and was followed by a purge of Skyrim's remaining Snow Elves. The Five Hundred Companions, without much resistance, secured the region and laid the foundations for the Ysgramor Dynasty.
\n\nIn 4E 174, a group of Reachmen launched an uprising in which they took the city of Markarth. This event would later be known as "The Forsworn Uprising." Since the Empire was fighting against the Third Aldmeri Dominion in Cyrodiil at the time, Markarth was undefended and was thus left open for attack. The Reachmen who took control of Markarth took over the government administration and created an independent Reach kingdom.
\n\nTwo years later, in 4E 176, Hrolfdir, who was the Jarl of Markarth prior to the Reachmen reclaiming it, asked a militia force led by Ulfric Stormcloak to retake Markarth. The militia was victorious, however, many people who were related to the Forsworn were put to the sword and killed, those of the Forsworn who didn't flee Markarth were killed, except for Madanach, Nepos the Nose and a handful of others. Those of the Forsworn who did manage to escape swore revenge against the Nords for preventing them a life of independence. After this the Imperial Legion returned and had to accept the agreement of free Talos worship, which was made between Ulfric and Hrolfdir, supposedly due to chaos running through the streets in Markarth. However, some time after this the Thalmor found out that the Empire wasn't honoring the White-Gold Concordat, and demanded them Ulfric and his men to be arrested or to face another war. The choice was clear for the Jarl, Ulfric and his men were arrested and the Thalmor came to Skyrim with their treaty enforcers, the Thalmor Justiciars, to ensure that the Talos ban wouldn't be dishonored again. It was the founding day for the Stormcloaks and where the civil war in Skyrim truly started.
\n\nThe Civil War in Skyrim is known to have started prior to 4E 199 and after 4E 176. The exact cause for the war is a matter of debate in the province. On the Imperial side it is generally thought that Ulfric coveted the High King's throne and that he's just in it for the throne. On the Stormcloak side however, people see him as a liberator who tries to free Skyrim from the claws of a corrupt and dying Empire.
{STORMCLOAK_SPAIN_DESCR}		Lord Talib al-Hegathe  \n\n After the Ra Gada had cleared the way for the King of Yokuda, the Crowns first settled the city of Sentinel. Crown descendants of the Ra Gada who came from Yath had also settled in the Elven city of Salas En, until the Thrassian Plague broke out. Under the Reman Empire, the Crowns and Forebears were truly formed, this republic only lasted until the end of the Second Empire, as afterwards, control was returned to the Na-Totambu, and their High King. Under the rules of the High King, the capital was moved from Hegathe to Sentinel.
